0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,A,,,,B,,,,C,,,,D,,,,E,,,,F,,,
Cur,Cuat,Asignatura,Núm.,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
1º,1,ÁlgebraLinealyEstructurasMatemáticas,16,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,15,16,,
,1,Cálculo,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,1,FundamentosFísicosyTecnológicos,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,1,FundamentosdelSoftware,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,1,FundamentosdeProgramación,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,2,LógicayMétodosDiscretos,16,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,15,16,,
,2,Estadística,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,2,TecnologíayOrganizacióndeComputadores,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,2,MetodologíadelaProgramación,14,1,2,3,,4,5,6,,7,8,,,9,10,11,,12,13,14,,,,,
,2,"Ingeniería,EmpresaySociedad",10,1,2,,,3,4,,,5,6,,,7,8,,,9,10,,,,,,
